groups,bic,ssr
15,.0353555075832812,5.663959580508175
14,.0349456032920356,5.99592328503724
13,.0346271624973139,6.385508992376318
12,.0343187457979248,6.781409879774975
11,.0340753030969852,7.218244386196758
10,.0339810411150934,7.749062745618718
9,.0341186476889979,8.425958295192356
8,.0344919918497768,9.25136852449679
7,.0348369578370018,10.05890050446235
6,.0356029942633231,11.13170686105852
5,.0369862319826971,12.59335003227789
4,.0387880113844216,14.31867446337809
3,.0414703263962616,16.59873632885111
2,.0456892473189408,19.84685991815275
1,.051822194612918,24.30082012137214
